0,1,2,3,4,5
163,2026-07-04,16:56:21,Bhramari,0.99,0.7702768285979701
162,2026-07-04,16:56:13,Om,4.23,0.9960539438694905
161,2026-07-04,16:56:08,Bhramari,1.02,0.795477333226572
160,2026-07-04,16:56:07,Om,4.29,0.9977569408812842
159,2026-07-04,14:48:11,Om,3.45,0.8863066489788833
158,2026-07-04,14:48:07,Om,3.15,0.8937727365664008
157,2026-07-04,14:48:03,Bhramari,3.51,0.8114124513033227
156,2026-07-04,14:47:59,Bhramari,3.33,0.8814144287992615
155,2026-07-04,14:47:54,Bhramari,3.54,0.9686854844984504
154,2026-07-04,14:47:45,Bhramari,3.6,0.7504580399141094
153,2026-07-04,14:47:36,Om,3.99,0.8700098044341529
152,2026-07-04,14:47:31,Om,3.72,0.8460964779529029
151,2026-07-04,14:47:26,Om,4.05,0.8821364903049926
150,2026-07-04,14:47:21,Bhramari,4.08,0.8329799689447828
149,2026-07-04,14:47:15,Bhramari,3.84,0.716839134051342
148,2026-07-04,14:47:09,Bhramari,4.05,0.7623430386096453
147,2026-07-04,14:47:04,Bhramari,0.99,0.7643392503761367
146,2026-07-04,14:47:03,Bhramari,4.35,0.732563960586154
145,2026-07-04,14:46:57,Om,4.02,0.9609872682008167
144,2026-07-04,14:12:12,Om,6.33,0.7168095674098245
143,2026-07-04,14:12:04,Om,6.06,0.8223593410524905
142,2026-07-04,14:11:56,Om,5.34,0.7802163011603929
141,2026-07-04,14:11:02,Om,4.71,0.9721261817209654
140,2026-07-04,14:10:48,Om,12.21,0.8213475548727688
139,2026-07-04,14:10:35,Om,4.29,0.8597342157282344
138,2026-07-04,14:10:14,Om,6.3,0.9023752687871291
137,2026-07-04,14:10:06,Om,6.21,0.8760772439443716
136,2026-07-04,14:09:58,Om,5.52,0.8761476356841658
135,2026-07-04,14:09:51,Om,4.23,0.8201678641798679
134,2026-07-03,17:10:48,Om,4.5,0.7940367073310703
133,2026-07-03,17:10:08,Bhramari,1.08,0.7433908759832771
132,2026-07-03,17:10:07,Om,6.03,0.8872268482987503
131,2026-07-03,17:09:59,Om,5.37,0.9494462908404186
130,2026-07-03,11:18:09,Bhramari,11.19,0.9965920586534217
129,2026-07-03,11:17:38,Bhramari,8.38,0.9967306562707458
128,2026-07-03,11:17:16,Bhramari,6.43,0.9963203317546045
127,2026-07-03,11:00:52,Bhramari,5.34,0.99635757396939
126,2026-07-03,11:00:43,Bhramari,6.83,0.9965798339683254
125,2026-07-03,11:00:13,Bhramari,5.85,0.9968653180896571
124,2026-07-03,10:53:27,Bhramari,15.7,0.9972479561938045
123,2026-07-03,10:52:05,Bhramari,7.29,0.9963588722248791
122,2026-07-03,10:51:55,Bhramari,4.9,0.9970474938949372
121,2026-07-03,10:51:46,Bhramari,4.6,0.996210259295669
120,2026-07-03,10:51:35,Bhramari,7.64,0.9967453054481464
119,2026-07-02,22:39:20,Om,8.64,0.8663292228620398
118,2026-07-02,20:51:32,Bhramari,20.71,0.9970824590624721
117,2026-07-02,18:41:51,Bhramari,4.77,0.7065365307482744
116,2026-07-02,18:41:45,Bhramari,5.88,0.9542438102492623
115,2026-07-02,18:41:24,Bhramari,4.62,0.801456372153729
114,2026-07-02,18:41:18,Bhramari,4.56,0.7571406270127267
113,2026-07-02,18:41:12,Bhramari,4.44,0.7729159327454975
112,2026-07-02,18:41:07,Bhramari,4.92,0.8597161641098843
111,2026-07-02,18:40:55,Bhramari,5.67,0.9474724355975304
110,2026-07-02,18:40:42,Bhramari,5.28,0.7266703712304717
109,2026-07-02,18:40:35,Om,5.25,0.8332930768026653
108,2026-07-02,18:40:00,Om,5.25,0.9198392259418322
107,2026-07-02,18:39:54,Om,6.18,0.893803788220051
106,2026-07-02,18:15:53,Bhramari,12.82,0.9981197901573345
105,2026-07-02,17:03:54,Bhramari,4.71,0.8599505500912437
104,2026-07-02,17:03:40,Bhramari,5.64,0.9152215567602183
